"text","label","notes"
"Animal agriculture produces roughly 14.5% of global greenhouse gas emissions according to the FAO. Beef specifically requires around 20x more land per gram of protein than legumes. That scale of resource use is hard to justify when the alternatives are nutritionally comparable.","argument","Clear causal chain; sources named; stands without the author's personal stance"
"The Amazon deforestation data is damning for meat-eaters. Around 80% of cleared Amazon land goes to cattle ranching or growing feed crops. If you care about biodiversity at all, what you eat three times a day is directly connected.","argument","Specific land-use stat; logical link from diet to outcome; evidence-led"
"B12 is genuinely the one nutrient you need to plan for on a vegan diet. It's made by bacteria, not by animals themselves — animals just concentrate it because they eat those bacteria or live near them. Supplementing or eating fortified foods is exactly as effective at the source.","argument","Mechanistic explanation grounded in biology; no rhetorical padding"
"Saturated fat and cardiovascular disease risk are causally linked across dozens of large cohort studies and multiple RCTs. Plant-based diets reduce LDL on average by around 10-15% compared to omnivorous diets in controlled trials. That's a meaningful clinical difference.","argument","Quantified effect size; research design mentioned; reproducible claim"
"Farmed animals are raised in conditions that would be criminal if applied to dogs. Battery cage hens get less space than a sheet of paper. The legal threshold for cruelty in agriculture is far below what we'd accept for any companion animal, and that inconsistency is a policy choice.","argument","Specific measurable detail; exposes legal asymmetry; logical structure"
"Methane from livestock is about 80x more potent as a greenhouse gas than CO2 over a 20-year window. Even if you only cut beef and dairy, you'd eliminate a large fraction of your personal methane-linked footprint. The 20-year timeframe matters because that's when tipping points are closest.","argument","Distinguishes CO2 from methane; 20-year horizon framing is scientifically grounded"
"The protein argument against veganism doesn't hold up to scrutiny. All essential amino acids are present in a varied plant diet. Soy, quinoa, and buckwheat are complete proteins alone; combining legumes and grains covers the rest. No dietitian textbook recommends against veganism on protein grounds anymore.","argument","Addresses specific counter-claim; cites professional consensus; concrete food examples"
"Antibiotic resistance is partly driven by agricultural overuse. About 70% of medically important antibiotics sold in the US go to livestock, not humans. Reducing that reservoir of antibiotic exposure in the food system is one of the few levers non-specialists actually control.","argument","Quantified stat; identifies mechanism; connects individual choice to systemic risk"
"Plant-based diets have a substantially lower water footprint. A kilogram of beef requires roughly 15,000 liters of water to produce; a kilogram of lentils needs about 900. For regions already experiencing drought stress, that difference in resource demand matters at a population scale.","argument","Specific comparative figures; connected to real-world resource pressure"
"The nitrogen pollution from livestock waste is a documented cause of algal blooms and dead zones in waterways. The Gulf of Mexico dead zone — currently several thousand square miles — is fed significantly by Midwestern agricultural runoff. That's a measurable ecological cost that doesn't show up on a food label.","argument","Names specific ecosystem; quantified size; links farm practice to downstream harm"
"Fish experience pain. The neurological evidence — nociceptors, stress hormones, avoidance learning — passes the same criteria we use to infer pain in mammals. If that evidence would be enough for us to care about a dog's suffering, there's no principled reason it fails for a fish.","argument","Criterion-based argument; anticipates and counters the implicit objection"
"Grass-fed beef still requires significantly more land than any plant crop with comparable protein yield. Even the most regenerative ranching models can't reach the density of nutrition per acre that legume agriculture achieves. The land-efficiency gap is real regardless of how the animals are raised.","argument","Addresses common counter-argument directly; maintains focus on measurable metric"
"Dietary patterns in large epidemiological studies consistently associate high red meat consumption with elevated colorectal cancer risk. The WHO classifies processed meat as a Group 1 carcinogen based on that evidence. That classification uses the same standard as tobacco — the strength of evidence, not the magnitude of risk.","argument","Explains what the WHO classification means; prevents misreading; accurate and precise"
"Veganism is the only ethical choice and anyone who disagrees is just rationalizing cruelty to themselves.","hot_take","Moral absolutism with zero supporting reasoning; designed to shut down rather than persuade"
"Meat eaters are the exact same as people who supported slavery. There is no difference.","hot_take","Bold moral equivalence with no argument scaffolding; purely rhetorical"
"If you eat animals you don't actually love animals, period.","hot_take","Confident judgment; no engagement with the complexity of the claim; classic bumper-sticker format"
"Dairy is literally poison and the industry exists to keep you sick so you buy more medicine.","hot_take","Multiple strong claims treated as self-evident; conspiratorial framing with no evidence"
"Hunters are just murderers with a hunting license. Dress it up however you want.","hot_take","Moral equation asserted, not argued; the disclaimer 'dress it up however you want' signals contempt for counter-evidence"
"Anyone still eating meat in 2026 is choosing ignorance. The information has been out there for decades.","hot_take","Confident attribution of bad faith; no engagement with actual arguments or barriers to change"
"Leather is literally wearing a corpse. I don't understand why this is controversial.","hot_take","Rhetorical framing as obvious fact; no argument about why this framing should compel agreement"
"Vegans are healthier, smarter, and more ethical. Science and morality both agree. This isn't really debatable.","hot_take","Three major claims stacked without a single piece of evidence; the 'not debatable' closer is a tell"
"Wool is theft. Silk is torture. If you buy these things you are funding cruelty and I'm not going to pretend otherwise.","hot_take","Strong moral claims treated as self-evident; 'I'm not going to pretend otherwise' substitutes confidence for argument"
"Going vegan is the single most impactful thing any individual can do for the planet. Nothing else comes close.","hot_take","Superlative framing; 'nothing else comes close' is undefended; plausible claim but delivered as settled fact"
"Milk causes cancer. Look it up.","hot_take","Fact-as-jab pattern; vague citation gesture ('look it up') is not reasoning; no causal mechanism offered"
"People who eat meat just don't want to think about where their food comes from. That's called willful ignorance.","hot_take","Psychological claim stated as fact; no acknowledgment of actual barriers or competing frameworks"
"Zoos are prisons and anyone who takes their kids there is teaching them that exploitation is entertainment.","hot_take","Strong moral frame; decorative reasoning at best; no engagement with conservation arguments"
"PETA isn't perfect but the people criticizing them are just looking for an excuse not to change anything.","hot_take","Dismisses counter-view as bad faith without engaging it; rhetorical deflection"
"The meat and dairy industry is the biggest scam ever pulled on humanity and it's all propped up by government subsidies and lies.","hot_take","Conspiracy-adjacent framing; subsidies point is real but used here as rhetorical decoration not argument"
"Eggs are just chicken periods. Why is that appetizing to anyone.","hot_take","Disgust-based framing; not an argument; designed to provoke rather than persuade"
"Leather has no place in a compassionate world. Full stop.","hot_take","Asserted conclusion; 'full stop' signals no interest in engaging counter-arguments"
"Wool production involves pain and suffering every single time. Happy shearing doesn't exist. You're funding abuse.","hot_take","Absolute claim presented as self-evident; no evidence for 'every single time' framing"
"Carnism is a cult and meat eaters are just cult members who haven't woken up yet.","hot_take","Loaded terminology used as substitute for argument; 'woken up' framing is dismissive of genuine disagreement"
"Fish don't have feelings, they said. Tell that to the billions of fish literally gasping for air on the decks of trawlers every year. Open your eyes.","hot_take","Emotionally charged but not argued; presents an image as a refutation without engaging the neurological question"
"If your ethics only apply to animals that are cute, that's not ethics — that's aesthetics.","hot_take","Punchy and actually has a logic kernel — but stated as a jab, with no follow-through argument; borderline with argument"
"The way we treat farm animals would land you in jail if you did it to a dog. That tells you everything.","hot_take","Inconsistency point is real and could be an argument; here it's stated as 'that tells you everything' — conclusion without case; borderline"
"I went vegan overnight three years ago after watching Dominion and I've never looked back. It genuinely changed how I see the world.","experience","Clear personal turning point; no general claims made; reflective rather than argumentative"
"Three months in and I'm still learning. Accidentally ate something with whey in it last week and felt genuinely upset. Does it get easier to read labels?","experience","Practical struggle; no argument; direct request for community help"
"My entire family thinks veganism is a phase. Thanksgiving was awful. How do you deal with people who take your food choices as a personal attack?","experience","Interpersonal struggle; asking for advice; emotional content; no general argument"
"I've been vegan for six years and I still get the protein question at least once a week from coworkers. At this point I just send them a link and move on.","experience","Community bonding over shared frustration; mild advice embedded; primarily personal"
"Went grocery shopping and the vegan options at my local store are pathetic. One sad row of tofu next to a wall of meat. Feeling a bit defeated today.","experience","Venting about access; no argument; emotional register is the whole point"
"My partner isn't vegan and we're making it work but it's genuinely hard sometimes when I cook separate meals every night. Anyone else in a mixed household?","experience","Asking for support and solidarity; the difficulty is relational, not ideological"
"I cried watching a cow and her calf being separated on a video someone posted. I knew it happened but seeing it is different. Just needed to say that.","experience","Emotional processing; specific triggered moment; shares without arguing; no general claim"
